"","id","nome","rua","bairro","atividade","datum","utm_e","utm_n","ano","classif","reutiliza","etapa_gere","etapa_ge_1","fonte_cont","meios_impa","contaminan","med_emerge","med_instit","med_remedi","med_engenh","data_inser","usuario"
"1",1,"AUTO POSTO PRINCESA D'OESTE LTDA","AV. PRINCESA D'OESTE 1579","JARDIM PROENÇA","Posto de Combustível|","WGS84",290247.19,7465000,"2011","Contaminada sob investigação","N","investigação confirmatória|",NA,"armazenagem|","águas subterrâneas#dentro#|","combustíveis líquidos|solventes aromáticos|",NA,"uso água subterrânea#proposta#|","extração multifásica|",NA,"2013/11/26 14:53:01.367","1008188"
"2",2,"ALMEIDA & L. OLIVEIRA DE COMBUSTIVEIS LTDA","AVENIDA JOHN BOYD DUNLOP 460","CHACARA DA REPÚBLICA -CAMPINAS","Posto de Combustível","WGS84",284957.19,7464876.2,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/25 16:28:30.049","1008188"
"3",3,"ASHLAND RESINAS LTDA","RODOVIA ANHANGUERA KM 103 S/N","NOVA APARECIDA - CAMPINAS","Indústria","SAD69",280481,7470334,"2011","Contaminada","N",NA,"investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco|concepção da remediação|remediação com monitoramento da eficiência e eficácia","descarte disposição|produção|tratamento de efluentes","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","metais|solventes halogenados|solventes aromáticos|outros","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)","uso água subterrânea#proposta#","bombeamento e tratamento|remoção de solo/resíduo",NA,"2013/11/25 16:41:30.702","1008188"
"4",4,"AUTO POSTO CONCEIÇÃO","RUA IRMÃ SERAFINA 811","CENTRO - CAMPINAS","Posto de Combustível","WGS84",289063.97,7465565.78,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem|desconhecida","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso água subterrânea#proposta#",NA,NA,"2013/11/25 16:59:38.580","1008188"
"5",5,"AUTO POSTO ESKINÃO LTDA","AVENIDA MORAES SALES 940","CENTRO - CAMPINAS","Posto de Combustível","WGS84",289168.59,7465364.52,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos","fechamento/interdição de poços de abastecimento","uso água subterrânea#comunicada#","bombeamento e tratamento",NA,"2013/11/26 14:23:22.616","1008188"
"6",6,"AUTO POSTO JARDIM EULINA LTDA","AV. PAPA JOÃO XXIII 535","JARDIM EULINA - CAMPINAS","Posto de Combustível","WGS84",284035.06,7466975.86,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|PAHs","monitoramento ambiental","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:27:09.933","1008188"
"7",7,"AUTO POSTO JP LTDA","RUA BENJAMIM CONSTANT 1335","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288827.65,7465903.83,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,"bombeamento e tratamento|extração multifásica|biorremediação",NA,"2013/11/26 14:29:02.378","1008188"
"8",8,"AUTO POSTO LM DE CAMPINAS LTDA","RODOVIA DOM PEDRO I S/N SP 065 - KM 140,9","CEASA - CAMPINAS","Posto de Combustível","SAD69",284703.66,7471865.19,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre",NA,NA,NA,NA,"2013/11/26 14:34:02.120","1008188"
"9",9,"AUTO POSTO VIRACOPOS DE CAMPINAS LTDA","AEROPORTO VIRACOPOS 0","AEROPORTO - CAMPINAS","Posto de Combustível","WGS84",280394,7453889,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre",NA,NA,"bombeamento e tratamento",NA,"2013/11/26 15:10:43.437","1008188"
"10",10,"HELIO VALDIVIA","AV. ANCHIETA 265","CENTRO - CAMPINAS","Posto de Combustível|","WGS84",288864.12,7466001.49,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção|",NA,"armazenagem|infiltração|","águas subterrâneas#dentro#|","combustíveis líquidos|solventes aromáticos|",NA,NA,"atenuação natural monitorada|",NA,"2013/11/26 16:13:14.757","1008188"
